Request: 2022-06-22T10:31:13.952Z | [ bb38a8d4-81df-4395-9a99-c99f44bbe7e4 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-06-22T10:31:43.791Z | [ 9cef7bf1-b1c1-4f7c-ae65-cb6312958450 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-06-22T10:32:34.414Z | [ cd20fa58-9ef3-4ea5-a1e4-42b2b9e145e6 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-06-22T10:41:34.730Z | [ d6572579-d817-49ff-b709-d0b5db13eed2 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-06-22T10:42:24.275Z | [ ce16a15d-5ee5-45ab-b8b6-c6bb09daa8c5 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-06-22T10:43:42.614Z | [ 246bec9f-dc46-4f0b-92ba-86b43f49cb31 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-06-22T10:44:10.362Z | [ b5870d5f-4ea5-4f14-8736-64247f2f03b6 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-06-22T10:44:21.974Z | [ a585838d-e92e-451c-bb44-49d1e28df924 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-06-30T05:45:35.061Z | [ 057e8849-0f7a-45c9-b2b6-2d2ac9cee725 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-06-30T06:08:06.342Z | [ 492456ae-d296-4848-b82a-523df058fd8f ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-06-30T06:08:39.419Z | [ 11239890-20a1-4adb-aa9e-e7aab151867b ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T05:04:05.318Z | [ 64f7e25c-bbe9-496f-bfff-e59fa835747d ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T05:11:00.412Z | [ 4f111497-db00-4377-9b97-ade231f38bf1 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T05:11:07.250Z | [ ad14dd26-5dba-4150-9f74-dd1e99d3047e ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T05:11:50.185Z | [ eb6b478e-8f2a-4d0e-995f-19c0db10291c ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T05:27:05.479Z | [ 2fe29fc0-5134-4720-a188-0be1770918ca ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T05:27:25.615Z | [ 8dc9f4c7-0940-4057-a207-e691aa81df3b ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T05:27:40.376Z | [ 0bd05461-3868-4b97-adbd-05aafc22d471 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T05:28:10.740Z | [ 9c53242d-c4c6-4e74-9bc0-f2e79265c4a7 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T05:31:17.574Z | [ 35edd60d-d758-4274-af1c-2694e2dae24f ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T05:32:23.578Z | [ 8ecb98ef-c9f9-46e2-b73c-c83c7de9b167 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T05:33:54.641Z | [ 9c73caea-e39e-4e23-9320-c5596dee227a ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T05:47:05.037Z | [ 5d4a8f9c-f44a-451a-9fcf-84a9fe33acc0 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T05:49:08.003Z | [ 0a72280b-2b91-403d-8e48-6246e689c01f ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T05:49:13.183Z | [ 216ebc4a-a4e7-4298-a474-91cc5f9f7fde ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T05:49:24.555Z | [ d5d49298-385c-4b44-8800-cdc08a0ed6aa ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T05:50:13.455Z | [ bf2ace02-4682-4d30-8cf3-ef9fc40ea313 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T05:51:56.158Z | [ d68d0137-9015-4f68-9f41-1ec6831d5a34 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T05:52:55.821Z | [ cc1cbddf-2b3a-4fdd-be26-9ccffbf988e3 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T05:53:17.762Z | [ db8e41de-af88-4896-bfbf-31f5767083a3 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T05:58:13.711Z | [ 2afe6eef-0a61-4e0e-81bf-17f279548b88 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T06:05:00.830Z | [ 800bb726-f156-427c-b6f4-db7e693f28c6 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T06:16:39.482Z | [ 8275c17d-71d8-4678-a91b-9207c8051d22 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T06:19:08.561Z | [ e32a31b5-2b0f-4bfa-94a2-a01be592a011 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T06:19:35.941Z | [ c0b3c128-53de-41ec-82d2-9cd3e3fb5e17 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T06:28:29.512Z | [ 17aec9bb-fad7-4227-ac60-4b559111797d ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T06:29:24.937Z | [ d4527373-c712-4b78-8a3e-44f74b16b47c ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T06:29:55.697Z | [ 9b644f09-2d36-4810-b6fa-96fd8a4803c6 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T06:31:41.846Z | [ ce85ef75-94ce-494b-9cbe-d582aaefb064 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T06:38:14.600Z | [ 1a7e9a66-b7c5-4597-b89d-efd86e2aa87e ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T06:53:41.666Z | [ c3da5315-2ecb-4b76-99de-6df05713038e ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T06:54:32.797Z | [ d45cd921-ae39-4a54-8405-34700569ee23 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T06:55:33.959Z | [ e8472702-e6c8-4ffb-bb5e-57df5ac7639b ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T06:55:53.217Z | [ 14db480e-cfa2-4be0-9838-8def9fa1d00e ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T06:56:37.351Z | [ ad1880cc-9821-4802-a45b-2a5087aef4fa ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T06:58:24.453Z | [ 98c661f4-30e1-412f-8358-f58af4a85495 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-01T06:58:58.335Z | [ df83af48-f4d5-48d6-a5ef-0971a85e943d ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-05T11:33:52.840Z | [ 0c67e901-aa3e-495b-b9ab-0f62dd85ad08 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-05T11:35:27.651Z | [ 939a0582-9326-41ff-be41-99dda17f760a ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-05T11:35:48.318Z | [ d606e31f-ca66-4ed7-b600-fd93d3c9aa2b ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-05T11:41:20.843Z | [ f5ba60b9-db2e-4aa8-ada8-d2fa84ca8288 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-05T11:46:23.461Z | [ 46012139-6b8f-4846-aba4-08b52130ee2f ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-05T11:47:04.074Z | [ f9ababb1-0355-45f4-8ea9-3dbd886c19aa ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-05T11:47:24.784Z | [ 938bc3d2-a529-43fa-8e9d-4090aade560b ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-06T05:09:29.041Z | [ 42db818c-7afd-4c21-af75-5244324db071 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-06T06:47:21.854Z | [ 010926f0-029b-4321-a345-4b6ec9b84377 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-06T06:47:39.240Z | [ 75d98cc5-0380-4ffa-bee2-94b76c440663 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-06T06:52:18.143Z | [ 122814c9-6363-429d-a0be-0fe8c67e7629 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-06T06:54:58.506Z | [ fd6791ac-f532-4398-960b-c5fd844d80dd ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-06T06:58:54.084Z | [ f5108914-c0b6-407d-a3a2-7bccfea47f50 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-06T06:58:57.903Z | [ d474694f-b234-4aef-9e51-078a3ea8ff63 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-06T07:01:47.488Z | [ 509a9a2c-cb37-4fa8-8391-b735ea0e28e2 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-06T07:02:51.815Z | [ dd831d1d-6952-48c9-9422-749abe4cc37b ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-06T07:04:29.193Z | [ e0253844-489a-45b6-a678-a0de2738b309 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-06T07:12:58.719Z | [ 9226cc5a-0edd-4097-874e-483ce3b8d744 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-06T07:13:58.334Z | [ 0ad62394-02f7-49b4-97b0-927d208c4b0c ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-06T07:17:03.990Z | [ 6b10b5d5-2255-4252-b691-b470783b680c ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-06T07:18:30.883Z | [ 636cb760-71bd-479a-a690-60e7bd97ef50 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-06T07:22:29.326Z | [ 2e31a45a-6cf5-4c56-ade6-274a7b3281a0 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-06T09:36:35.180Z | [ 4c5453c2-0b09-4822-a9c0-cb2cf9645807 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-07T04:53:48.387Z | [ ac759018-e76b-43fa-8316-868ed4df67ad ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-07T04:54:16.548Z | [ 2f62703f-66b4-4174-9522-a342c2d6c054 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-07T04:54:17.931Z | [ db6cbafe-66df-4520-a8f0-23c5f471163f ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-07T04:54:28.446Z | [ 59befbb5-281d-457d-b1fb-57c31df1acb6 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-07T04:55:41.190Z | [ b2c5eb59-1a6b-4805-bda4-7f739885a398 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-07T04:55:47.791Z | [ 7f7f4945-8fd9-4f5d-8f2c-7be7a0d03a1d ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-07T05:12:48.836Z | [ ca2e053b-9261-4c38-a0fb-547e90d47a80 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | SequelizeDatabaseError: Table 'smart_tube.videos' doesn't exist
Request: 2022-07-07T05:12:49.778Z | [ 1b2132bd-b4fc-4975-95c1-0f6460c823d0 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | SequelizeDatabaseError: Table 'smart_tube.videos' doesn't exist
Request: 2022-07-07T05:12:50.052Z | [ de43a328-913c-420f-8ce5-dc836f0cc7d0 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | SequelizeDatabaseError: Table 'smart_tube.videos' doesn't exist
Request: 2022-07-07T05:12:50.487Z | [ 6d6a2d17-de30-45e4-bf01-eee75158ce8a ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | SequelizeDatabaseError: Table 'smart_tube.videos' doesn't exist
Request: 2022-07-07T05:13:12.344Z | [ 62e4f72f-009a-4c69-9841-b3e3512f7110 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | SequelizeDatabaseError: Unknown column 'login_time' in 'field list'
Request: 2022-07-07T05:13:14.173Z | [ 45206f1c-73d5-4c80-9c3e-a1c4ac9ca27d ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | SequelizeDatabaseError: Unknown column 'login_time' in 'field list'
Request: 2022-07-07T05:13:43.394Z | [ 5cfc6ec0-6bfe-4e43-93fe-5dac3364e6b6 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | SequelizeDatabaseError: Unknown column 'login_time' in 'field list'
Request: 2022-07-07T05:14:05.882Z | [ 3f17a804-b0e3-4630-b8d7-5bbbefb18fec ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | SequelizeDatabaseError: Unknown column 'login_time' in 'field list'
Request: 2022-07-07T05:14:41.126Z | [ 5b8d17db-197e-42ac-9689-be751743a4dc ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | TypeError: Class constructor Model cannot be invoked without 'new'
Request: 2022-07-07T05:14:42.076Z | [ 75bb2498-c6ae-4c6c-9ffa-a54c13adddae ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | TypeError: Class constructor Model cannot be invoked without 'new'
Request: 2022-07-07T05:14:42.627Z | [ 6f6c150e-6b29-498d-8fda-eeafcfae75bd ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | TypeError: Class constructor Model cannot be invoked without 'new'
Request: 2022-07-07T05:15:14.295Z | [ ec1b9447-40ad-482c-a392-e1347151481a ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | TypeError: Class constructor Model cannot be invoked without 'new'
Request: 2022-07-07T05:15:20.758Z | [ 8b9e89f4-5a0c-49a0-a7d2-0487a949029f ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | TypeError: Class constructor Model cannot be invoked without 'new'
Request: 2022-07-07T05:15:58.736Z | [ 6ee592ab-8b1a-4d21-97a3-9c5db3439cf5 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | TypeError: Class constructor Model cannot be invoked without 'new'
Request: 2022-07-07T05:15:59.511Z | [ f862481f-9667-4000-b7be-5a5a54bb6a6a ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | TypeError: Class constructor Model cannot be invoked without 'new'
Request: 2022-07-07T05:16:38.170Z | [ 417643c2-ffe6-4db3-8938-5c24e3e0de9b ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | TypeError: Class constructor Model cannot be invoked without 'new'
Request: 2022-07-07T05:34:44.962Z | [ a57726eb-c4ea-4df6-8ed5-40badd055a67 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-07T06:00:01.800Z | [ 882c639d-a709-4585-a98c-2901a613f36b ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
