Request: 2022-06-22T10:09:06.573Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-06-22T10:09:10.232Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-06-22T10:09:43.549Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-06-22T10:09:45.563Z | [ 24f2d8d6-0be5-4afd-bc54-1f393ce56e14 ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/middlewares/index.js | Server under maintenance
Request: 2022-06-22T10:10:30.073Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-06-22T10:10:32.914Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-06-22T10:10:34.485Z | [ 4fef8e5e-7ba8-4ef0-80fb-cb8c0c34307c ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Healthy
Request: 2022-06-22T10:23:35.463Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-06-22T10:24:23.045Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-06-22T10:24:26.444Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-06-22T10:24:28.831Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-06-22T10:25:40.855Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-06-22T10:26:40.701Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-06-22T10:27:53.664Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-06-22T10:29:04.474Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-06-22T10:29:08.469Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-06-22T10:30:07.059Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-06-22T10:30:48.067Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-06-22T10:30:48.799Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-06-22T10:30:50.914Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-06-22T10:30:55.827Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-06-22T10:31:13.843Z | [ eb00d06a-c7be-4e98-b6bc-e25a2762a18c ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/cornJobRoute/startExcelCorn | start excel corn route
Request: 2022-06-22T10:31:13.952Z | [ bb38a8d4-81df-4395-9a99-c99f44bbe7e4 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-06-22T10:31:43.743Z | [ 37431fe1-8159-46ad-b256-4a8450ef386e ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/cornJobRoute/startExcelCorn | start excel corn route
Request: 2022-06-22T10:31:43.791Z | [ 9cef7bf1-b1c1-4f7c-ae65-cb6312958450 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-06-22T10:32:08.859Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-06-22T10:32:23.538Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-06-22T10:32:34.362Z | [ 9ab93f56-3e65-45c7-99b1-c231726315e0 ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-06-22T10:32:34.414Z | [ cd20fa58-9ef3-4ea5-a1e4-42b2b9e145e6 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-06-22T10:34:10.753Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
